data_class,Project ID,Monitoring Location ID,Monitoring Location Name,AU,Activity ID,Activity Type,Activity Media Name,Activity Media Subdivision,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Depth/Height Measure,Activity Depth/Height Unit,Sample Collection Method ID,Sample Collection Equipment Name,Sample Collection Equipment Comment,Characteristic Name,Method Speciation,Result Detection Condition,Result Value,Result Unit,Result Measure Qualifier,Result Sample Fraction,Result Status ID,Statistical Base Code,Result Value Type,Result Analytical Method ID,Result Analytical Method Context,Analysis Start Date,Result Detection/Quantitation Limit Type,Result Detection/Quantitation Limit Measure,Result Detection/Quantitation Limit Unit,Result Comment,Activity Comment,WQP Result ID
external,lp5,lp5-TCC-2,Long Haul Creek,ID17060305CL009_02,lp5-TCC-2-3/15/2006-15:30-FM,Field Msr/Obs,Water,Surface Water,3/15/2006,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,260,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-2/2/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,2/2/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,381,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-2/14/2005-13:30-FM,Field Msr/Obs,Water,Surface Water,2/14/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,378,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-3/2/2005-12:30-FM,Field Msr/Obs,Water,Surface Water,3/2/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,382,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-3/17/2005-13:30-FM,Field Msr/Obs,Water,Surface Water,3/17/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,370,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-3/30/2005-12:30-FM,Field Msr/Obs,Water,Surface Water,3/30/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,377,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-4/13/2005-13:00-FM,Field Msr/Obs,Water,Surface Water,4/13/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,395,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-4/27/2005-14:00-FM,Field Msr/Obs,Water,Surface Water,4/27/2005,00:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,380,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-5/11/2005-13:30-FM,Field Msr/Obs,Water,Surface Water,5/11/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,351,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
external,lp5,lp5-TCC-3,Stockney Creek,ID17060305CL006_03,lp5-TCC-3-5/25/2005-13:30-FM,Field Msr/Obs,Water,Surface Water,5/25/2005,30:00.0,PST,NULL,NULL,IASCD 2007,Probe/Sensor,NULL,Conductivity,NULL,NULL,358,uS/cm,NULL,Unfiltered,Accepted,NULL,Actual,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
